LocusTag,Gene,Length,description,pI,mw,proteinLength,function,product,essential,ec,names,,,
BSU02540,ycbK,936,similar to efflux system,9.57,33.8143,312,unknown,unknown,no,,ycbK,,,
BSU23740,yqjU,189,unknown,9.98,7.1526,63,unknown,unknown,no,,yqjU,,,
BSU09450,yhdF,867,similar to glucose 1-dehydrogenase,5.16,31.3569,289,unknown,unknown,no,,yhdF,,,
BSU41060,rpmH,132,ribosomal protein,13,5,44,translation,ribosomal protein L34,no,,rpmH,,,
BSU34770,yvcJ,885,"GTPase, nucleotide-binding protein, similar to RNase adaptor protein",6.7,33.6973,295,required for the expression of late competence genes,GTPase,no,,yvcJ,,,
BSU23820,yqjM,1014,NADPH-dependent flavin oxidoreductase,5.14,37.4273,338,reduction of double bonds of nonsaturated aldehydes and,NADPH-dependent flavin oxidoreductase,no,,yqjM,,,
BSU39590,yxeD,351,sporulation protein,6.39,13.4929,117,unknown,unknown,no,,yxeD,,,
BSU01640,btr,1587,"transcriptional activator ([SW|AraC family]), (AraC family DNA-binding domain fused to [[protein|FeuA]]-like substrate-binding domain), regulation of the [[gene|feuA]]-[[gene|feuB]]-[[gene|feuC]]-[[gene|ybbA]] operon",6.43,60.592,529,regulation of iron acquisition,transcription activator ([SW|AraC family]),no,,"btr,ybbB,yzbC",,,
BSU38420,sacY,840,transcriptional antiterminator for [[gene|sacB]] and [[gene|sacX]]-[[gene|sacY]] (acts at high sucrose concentrations),5.88,32.3133,280,regulation of sucrose utilization,transcriptional antiterminator,no,,"sacY,ipa-13r,sacS",,,
BSU18080,yneT,405,similar to predicted CoA-binding protein with NAD(P)-binding Rossmann-fold domain,5.28,14.8483,135,unknown,unknown,no,,yneT,,,
new_1313663_1313744_c,S453,82,"new RNA feature, 5'UTR of yjnA
",,,,,5'UTR of yjnA,,,S453,,,
BSU33940,gapA,1005,"glyceraldehyde 3-phosphate dehydrogenase, NAD-dependent, glycolytic enzyme, forms a transhydrogenation cycle with [[protein|GapB]] for balancing of NADPH",5.03,35.6762,335,catabolic enzyme in glycolysis,glyceraldehyde 3-phosphate dehydrogenase,Yes,1.2.1.12,gapA,,,
BSU23320,ypzC,234,unknown,7.89,8.7232,78,unknown,unknown,no,,ypzC,,,
BSU17670,cotU,258,outer spore coat protein,6.32,11.4246,86,resistance of the spore,outer spore coat protein,no,,"cotU,ynzH",,,
new_496980_497767,S149,788,"new RNA feature, 5'UTR of dctS
",,,,,5'UTR of dctS,,,S149,,,
BSU05860,gmuE,897,mannose kinase,5.01,32.2878,299,glucomannan utilization,mannose kinase,no,2.7.1.4,"gmuE,ydhR",,,
BSU22090,kdgT,990,2-keto-3-deoxygluconate permease,8.94,34.1637,330,utilization of galacturonic acid,2-keto-3-deoxygluconate permease,no,,kdgT,,,
BSU16210,fliF,1608,"flagellar basal-body M-ring protein, membrane anchor of the basal body",4.37,59.1285,536,movement and chemotaxis,flagellar basal-body M-ring protein,no,,fliF,,,
BSU30710,ythA,1314,"cytochrome bd2, menaquinol oxidase (7:1 protons)",9.42,48.4945,438,respiration,"cytochrome bd2, menaquinol oxidase (7:1 protons)",no,,ythA,,,
BSU36030,ywrK,1326,similar to arsenical pump membrane protein,9.65,49.3814,442,unknown,unknown,no,,ywrK,,,
BSU18760,yoaU,870,similar to transcriptional regulator (LysR family),6.56,32.4275,290,unknown,transcriptional regulator (LysR family),no,,yoaU,,,
new_2037498_2037600_c,S698,103,"new RNA feature, 3'UTR of oxdD
",,,,,3'UTR of oxdD,,,S698,,,
BSU10920,yitA,1167,sulfate adenylyltransferase,7.55,43.0947,389,sulfate reduction and activation,sulfate adenylyltransferase,no,2.7.7.4,yitA,,,
BSU39510,snaB,495,S-(2-succino)cysteine N-acetyltransferase,9.12,18.8829,165,utilization and detoxification of S-(2-succino)cysteine,S-(2-succino)cysteine N-acetyltransferase,no,,"snaB,yxeL",,,
new_2836807_2836908_c,S1050,102,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1050,,,
new_4109864_4110916_c,S1539,1053,"new RNA feature, 3'UTR of yxaB
",,,,,3'UTR of yxaB,,,S1539,,,
BSU12470,yjqA,375,unknown,5.28,13.6838,125,unknown,unknown,no,,yjqA,,,
BSU07140,yetF,693,unknown,7.09,26.162,231,unknown,unknown,no,,yetF,,,
BSU00320,yaaT,825,"subunit of the regulatory iron-sulfur containing [[protein|YmcA]]-[[protein|YlbF]]-[[protein|YaaT]] complex, required for [[protein|Rny|RNase Y]] dependent maturation of polycistronic mRNAs, control of the [SW|phosphorelay], required for the achieving a sufficient level of [[protein|Spo0A]]-P for [SW|sporulation] initiation",4.84,31.0671,275,"control of [[protein|Rny|RNase Y]] activity, see [SW|Targets of the Y complex]",subunit of the regulatory iron-sulfur containing [[protein|YmcA]]-[[protein|YlbF]]-[[protein|YaaT]] complex,no,,"yaaT,ricT",,,
BSU01870,ybcH,288,unknown,4.99,11.2196,96,unknown,unknown,no,,ybcH,,,
BSU00040,recF,1110,promoter of [[protein|RecA]] DNA repair center assembly,7.01,42.1466,370,[[category|DNA repair/ recombination]],promoter of [[protein|RecA]] DNA repair center assembly,,,recF,,,
BSU30950,glgA,1452,glycogen synthase (ADPGlc),5.16,55.6896,484,glycogen biosynthesis,glycogen synthase (ADPGlc),no,2.4.1.21,glgA,,,
BSU15160,pbpB,2148,"class B penicillin-binding protein  2B, Pbp2B, required for the assembly of the [SW|cell division ]complex and septal [SW|cell wall synthesis]",9.23,79.121,716,"septation, [SW|cell division]",penicillin-binding protein 2B,yes,,pbpB,,,
BSU15980,ffh,1338,signal recognition particle (SRP) component,9.42,49.3756,446,presecretory protein translocation,signal recognition particle (SRP) component,yes,,ffh,,,
BSU36090,ywrE,333,unknown,8.75,13.4057,111,unknown,unknown,no,,ywrE,,,
BSU28290,ilvC,1026,"ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate, 2-acetolactate)",5.37,37.3022,342,biosynthesis of branched-chain amino acids,"ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate, 2-acetolactate)",no,1.1.1.86,ilvC,,,
BSU09130,tcyP,1389,cystine and diaminopimelate transporter,9.47,48.8188,463,cystine and diaminopimelate uptake,cystine and diaminopimelate transporter,no,,"tcyP,yhcL",,,
BSU01070,rpoB,3579,[SW|RNA polymerase] beta subunit,4.73,133.376,1193,[SW|transcription],[SW|RNA polymerase] beta subunit,yes,2.7.7.6,rpoB,,,
BSU02590,ycbP,384,general stress protein,6.31,13.9128,128,unknown,unknown,no,,ycbP,,,
new_2152853_2153170_c,S759,318,"new RNA feature, intergenic region
",,,,,intergenic region,,,S759,,,
BSU11080,yitQ,735,unknown,10.13,27.4324,245,unknown,unknown,no,,yitQ,,,
new_1717808_1717932,S586,125,"new RNA feature, 5'UTR of rpsB
",,,,,5'UTR of rpsB,,,S586,,,
new_339807_339955_c,S111,149,"new RNA feature, independent transcript
",,,,,independent transcript,,,S111,,,
BSU16680,rpsO,267,ribosomal protein,10,10,89,translation,ribosomal protein S15 (BS18),yes,,rpsO,,,
BSU03810,fpbO,945,petrobactin (3.4-catecholate siderophore) [SW|ABC transporter] (permease),9.73,35.3195,315,acquisition of iron,petrobactin [SW|ABC transporter] (permease),no,,"fpbO,yclO",,,
BSU09380,nsrR,438,nitric oxide-responsive regulator,7.75,16.4671,146,repression of [[protein|ResD]]-[[protein|ResE]]-dependent genes in the absence of nitric oxide (NO),transcriptional repressor,no,,"nsrR,yhdE",,,
BSU36520,nrgB,348,nitrogen-regulated PII protein,8.82,12.6823,116,regulation of ammonium uptake,nitrogen-regulated PII protein,no,,"nrgB,glnK",,,
new_4154972_4155052_c,S1554,81,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1554,,,
BSU11960,yjcR,525,unknown,9.71,20.0726,175,unknown,unknown,no,,yjcR,,,
BSU03310,nasC,2130,nitrate reductase (catalytic subunit),6.73,78.391,710,utilization of nitrate,nitrate reductase (catalytic subunit),no,,"nasC,narB,nasBB",,,
new_2488815_2488968,S907,154,"new RNA feature, independent transcript
",,,,,independent transcript,,,S907,,,
BSU29080,mutM,834,formamidopyrimidine-DNA glycosidase,8.89,31.0642,278,DNA repair,formamidopyrimidine-DNA glycosidase,no,3.2.2.23,"mutM,ytaE",,,
BSU33300,fhuG,1008,hydroxamate siderophore [SW|ABC transporter ](ferrichrome und ferrioxamine) (permease),10.2,36.0002,336,siderophore uptake,hydroxamate siderophore [SW|ABC transporter ](ferrichrome und ferrioxamine) (permease),no,,fhuG,,,
BSU04570,murF,1371,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",5.34,49.5575,457,peptidoglycan precursor biosynthesis,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6- diaminopimeloyl-D-alanyl-D-alanine synthetase",yes,6.3.2.10,"murF,ydbQ",,,
BSU34400,padC,483,phenolic acid decarboxylase,4.87,18.9326,161,resistance to salicylic acid,phenolic acid decarboxylase,no,,"padC,pad, yveH",,,
BSU09290,glpK,1488,glycerol kinase,4.99,54.9104,496,glycerol utilization,glycerol kinase,no,2.7.1.30,glpK,,,
BSU25480,grpE,561,heat-shock protein (activation of DnaK),4.26,21.5373,187,control of DnaK activity,heat-shock protein,no,,grpE,,,
new_2404091_2404172_c,S870,82,"new RNA feature, 5'UTR of ypbH
",,,,,5'UTR of ypbH,,,S870,,,
BSU14170,ykuP,534,"flavodoxin, binds FMN, replaces ferredoxin under conditions of iron limitation",4.1,20.1075,178,electron transfer,flavodoxin,no,,ykuP,,,
BSU13940,ykwB,519,unknown,5.95,19.5294,173,unknown,unknown,no,,ykwB,,,
new_159779_160673,S63,895,"new RNA feature, intergenic region
",,,,,intergenic region,,,S63,,,
BSU36490,ywoC,567,unknown,4.62,20.9709,189,unknown,unknown,no,,ywoC,,,
BSU02140,glpT,1332,glycerol-3-phosphate permease,9.37,49.6378,444,glycerol-3-phosphate uptake,glycerol-3-phosphate permease,no,,"glpT,ybeE",,,
BSU15370,ylmD,834,"peptidoglycan-editing factor, prevents incorporation of glycine or L-serine into the PG sacculi",6.18,30.7917,278,quality control to maintain composition and integrity of peptidoglycan,peptidoglycan-editing factor,no,,"ylmD,pgeF",,,
BSU14970,ylbD,396,outer spore coat protein,7.38,15.1373,132,protection of the spore,spore coat protein,no,,ylbD,,,
BSU_rRNA_25,rrnG-16S,,16S rRNA,,,,translation,ribosomal RNA-16S,no,,rrnG-16S,,,
new_1530423_1530536,S532,114,"new RNA feature, intergenic region
",,,,,intergenic region,,,S532,,,
BSU33930,pgk,1182,"phosphoglycerate kinase, glycolytic/ gluconeogenic enzyme, universally conserved protein",4.77,42.0301,394,enzyme in glycolysis/ gluconeogenesis,phosphoglycerate kinase,No,2.7.2.3,pgk,,,
BSU25400,yqeY,444,unknown,5.53,16.6237,148,unknown,unknown,no,,yqeY,,,
BSU20980,yonV,1230,unknown,9.45,48.5503,410,unknown,unknown,no,,yonV,,,
BSU18930,yobH,609,C-terminal fragment of the Y family DNA polymerase [[protein|YozK]]-[[protein|YobH]],10,23.0571,203,unknown,unknown,no,,yobH,,,
BSU39450,yxeR,1110,ethanolamine transporter in/out via proton symport,8.24,38.2563,370,ethanolamine uptake/ export,ethanolamine transporter in/out via proton symport,no,,yxeR,,,
BSU25960,yqcB,270,unknown,4.69,10.2188,90,unknown,unknown,no,,yqcB,,,
BSU27130,rsiV,855,anti-[SW|sigma factor] to [[protein|SigV]],5.83,32.7153,285,control of [[protein|SigV]] activity,anti-[SW|sigma factor] to [[protein|SigV]],no,,"rsiV,yrhM",,,
BSU22310,recU,618,"Holliday junction resolvase, DNA repair, homologous recombination and chromosome segregation; recognizes, distorts, and cleaves four-stranded recombination intermediates and modulates [[protein|RecA]] activities, required for efficient survival and replication restart after replication-transcription conflicts",9.51,23.813,206,[SW|DNA repair/ recombination]  and [SW|chromosome segregation],Holliday junction resolvase,no,,"recU,prfA,yppB,jopB",,,
BSU34820,bmrA,1767,multidrug [SW|ABC transporter] (ATP-binding protein),6.47,64.3447,589,multiple antibiotic resistance,multidrug [SW|ABC transporter] (ATP-binding protein),no,,"bmrA,yvcC",,,
BSU12390,uxaA,1491,altronate hydrolase,5.78,54.7532,497,hexuronate utilization,altronate hydrolase,no,4.2.1.7,"uxaA,yjmJ",,,
BSU12690,xkdP,705,PBSX prophage,10.52,27.0201,235,unknown,unknown,no,,xkdP,,,
new_2393238_2393421,S865,184,"new RNA feature, 5'UTR of ypzI
",,,,,5'UTR of ypzI,,,S865,,,
new_2709471_2710001_c,S990,531,"new RNA feature, intergenic region
",,,,,intergenic region,,,S990,,,
new_967323_967934,S312,612,"new RNA feature, intergenic region
",,,,,intergenic region,,,S312,,,
BSU08590,yfhM,858,"general stress protein, similar to epoxide hydrolase",6.06,32.6065,286,survival of ethanol stress,unknown,no,,yfhM,,,
BSU29940,ytlR,927,unknown,10.07,35.4537,309,unknown,unknown,no,,ytlR,,,
new_3170472_3171891,S1180,1420,"new RNA feature, independent transcript
",,,,,independent transcript,,,S1180,,,
new_2362339_2362406_c,S853,68,"new RNA feature, intergenic region
",,,,,intergenic region,,,S853,,,
BSU39360,hutU,1656,urocanase,5.66,60.4278,552,histidine utilization,urocanase,no,4.2.1.49,hutU,,,
new_3566276_3566357_c,S1321,82,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1321,,,
new_2564914_2565669,S929,756,"new RNA feature, intergenic region
",,,,,intergenic region,,,S929,,,
new_4134175_4134435_c,S1547,261,"new RNA feature, intergenic region
",,,,,intergenic region,,,S1547,,,
BSU10650,sbcC,3390,DNA exonuclease,5.29,128.699,1130,DNA inter-strand cross-link repair,DNA exonuclease,no,,"sbcC,yirY",,,
BSU03700,gerKA,1632,nutrient receptor,5.21,60.2153,544,"germination response to the combination of glucose, fructose, aspartate, and KCl",nutrient receptor,no,,gerKA,,,
BSU06033,ydzT/1,105,"putative integrase (fragment), C-terminal part of YdzT",,,35,unknown,unknown,-,,ydzT/1,,,
BSU29330,cmoO,1002,"monooxygenase, required for the conversion of S-methyl-cysteine to cysteine",5.84,36.7889,334,utilization of S-methyl-cysteine,monooxygenase,no,,"cmoO,ytmO",,,
new_728319_728449_c,S236,131,"new RNA feature, 5'UTR of opuE
",,,,,5'UTR of opuE,,,S236,,,
BSU19080,yobT,699,unknown,8.92,25.2501,233,unknown,unknown,no,,yobT,,,
new_4176526_4176840,S1567,315,"new RNA feature, 3'UTR of yybJ
",,,,,3'UTR of yybJ,,,S1567,,,
BSU10200,yhfE,1038,similar to aminopeptidase,5.88,38.5791,346,unknown,unknown,no,,yhfE,,,
BSU04420,ydbC,357,unknown,4.48,13.6651,119,unknown,unknown,no,,ydbC,,,
new_1784630_1785132,S617,503,"new RNA feature, intergenic region
",,,,,intergenic region,,,S617,,,
BSU08990,yhbI,462,similar to transcriptional regulator ([SW|MarR family]),8.69,17.4595,154,unknown,unknown,no,,yhbI,,,
BSU26890,csn,831,chitosanase,8.89,31.3437,277,chitin degradation,chitosanase,no,3.2.1.132,csn,,,
BSU12940,dppC,960,dipeptide [[protein|ABC transporter]] (permease),9.81,35.649,320,uptake of dipeptides,dipeptide [SW|ABC transporter] (permease),no,,"dppC,dciAC",,,
BSU09560,cueR,429,transcriptional regulator ([SW|MerR family]) of the [[gene|copZ]]-[[gene|copA]] operon,7.89,16.2529,143,regulation of the [[gene|copZ]]-[[gene|copA]] operon,transcriptional regulator ([SW|MerR family]),no,,"cueR,yhdQ",,,
new_101212_101289,S44,78,"new RNA feature, intergenic region
",,,,,intergenic region,,,S44,,,
new_2273801_2274302,S811,502,"new RNA feature, independent transcript
",,,,,independent transcript,,,S811,,,
new_3246432_3246527,S1210,96,"new RNA feature, 5'UTR of mrpA
",,,,,5'UTR of mrpA,,,S1210,,,
BSU02870,znuB,840,high-affinity [SW|ABC transporter] for zinc (permease),10.38,30.2843,280,zinc uptake,[SW|ABC transporter] for zinc (permease),no,,"znuB,yceA",,,
BSU_rRNA_9,rrnW-16S,,16S rRNA,,,,translation,ribosomal RNA-16S,no,,rrnW-16S,,,
BSU04830,xis,192,excisionase,9.64,7.1725,64,excision of the conjugative transposon ICEBs1 from the trnS-leu2 locus,excisionase,no,,"xis,ydzC, sacV",,,
new_3605398_3606736_c,S1338,1339,"new RNA feature, 3'UTR of yvlD
",,,,,3'UTR of yvlD,,,S1338,,,
BSU22940,prsW,654,"protease, cleaves [[protein|RsiW]] in the presence of antimicrobial peptides",8.09,24.5725,218,control of [SW|SigW] activity,protease,no,,"prsW,ypdC",,,
BSU26920,yraJ,360,unknown,9.14,12.9499,120,unknown,unknown,no,,yraJ,,,
BSU04120,yczI,243,unknown,7.17,9.0437,81,unknown,unknown,no,,yczI,,,
BSU03982,mtlF,429,"mannitol-specific permease of the [SW|phosphotransferase systems|phosphotransferase system], EIIA of the [[category|Phosphotransferase system|PTS]]",4.496,16,143,mannitol uptake and phosphorylation,"mannitol-specific [[category|Phosphotransferase system|PTS]], EIIA",no,,mtlF,,,
BSU17020,ymcA,429,"subunit of the regulatory iron-sulfur containing [[protein|YmcA]]-[[protein|YlbF]]-[[protein|YaaT]] complex, required for [[protein|Rny|RNase Y]] dependent maturation of polycistronic mRNAs, antagonist of biofilm repression by [[protein|SinR]], control of the [SW|phosphorelay]",5.09,16.0244,143,"control of [[protein|Rny|RNase Y]] activity, see [SW|Targets of the Y complex]",subunit of the regulatory iron-sulfur containing [[protein|YmcA]]-[[protein|YlbF]]-[[protein|YaaT]] complex,no,,"ymcA,ricA",,,
BSU29820,ytpR,603,similar to Phe-tRNA synthetase (beta subunit),4.27,21.5509,201,unknown,unknown,no,,ytpR,,,
BSU40380,yycI,840,"negative effector of [[protein|WalK]], controls cell wall metabolism",5.28,32.4417,280,control of cell wall metabolism,negative effector of [[protein|WalK]],no,,yycI,,,
BSU22410,panD,381,aspartate 1-decarboxylase,5.56,13.759,127,biosynthesis of coenzyme A,aspartate 1-decarboxylase,no,4.1.1.11,panD,,,
BSU08500,yfhE,108,"general stress protein, survival of salt, ethanol and paraquat stresses and low temperatures",10.57,4.1431,36,survival of stress conditions and low temperatures,unknown,no,,yfhE,,,
BSU29670,tyrS,1266,tyrosyl-tRNA synthetase (major),5.21,47.5741,422,translation,tyrosyl-tRNA synthetase (major),yes,6.1.1.1,tyrS,,,
BSU23350,ypzD,210,unknown,9.82,7.4734,70,unknown,unknown,no,,ypzD,,,
BSU33050,gerAA,1446,"nutrient receptor, [SW|germination] response to L-alanine, triggers premature [SW|germination] in response to morphological defects during [SW|sporulation]",8.8,53.6236,482,germination response to L-alanine,nutrient receptor,no,,gerAA,,,
BSU18230,yngG,897,3-hydroxy-3-methylglutaryl-coenzyme A (HMG-CoA) lyase,5.75,32.4909,299,"mother cell metabolism, leucine utilization",3-hydroxy-3-methylglutaryl-coenzyme A (HMG-CoA) lyase,no,4.1.3.4,yngG,,,
BSU00270,yaaO,1440,"similar to arginine decarboxylase, affects the level of [[protein|Efp]] modification",5.71,52.9984,480,control of [[protein|Efp]] modification,putative arginine decarboxylase,no,4.1.1.19,yaaO,,,
new_2791968_2792100_c,S1035,133,"new RNA feature, 5'UTR of greA
",,,,,5'UTR of greA,,,S1035,,,
new_1446289_1447115_c,S498,827,"new RNA feature, independent transcript
",,,,,independent transcript,,,S498,,,
BSU07350,yfmT,1455,vanillin dehydrogenase,5.08,53.1541,485,unknown,vanillin dehydrogenase,no,,yfmT,,,
BSU17230,pksS,1128,"cytochrome P450, hydroxylase of the polyketide bacillaene produced by the pks cluster",6.12,43.2574,376,polyketide synthesis,hydroxylase of the polyketide produced by the pks cluster,no,,pksS,,,
BSU13390,ykoT,1011,similar to lipoteichoic acid glycosyltransferase,9.34,38.3586,337,unknown,unknown,no,,ykoT,,,
new_3108426_3108524_c,S1161,99,"new RNA feature, 5'UTR of yttB
",,,,,5'UTR of yttB,,,S1161,,,
BSU10009,yhzF,189,similar to dihydropicolinate reductase,9.734,6.9,63,unknown,unknown,-,,yhzF,,,
BSU27190,yrzI,147,unknown,7.02,6.0761,49,unknown,unknown,no,,yrzI,,,
BSU40960,parB,846,chromosome positioning near the pole and transport through the polar septum / antagonist of SMC complex to the origin of replication,8.42,32.0588,282,chromosome positioning before asymmetric septation,centromer-binding protein,no,,"parB,spo0J,spo0JB",,,
new_1938860_1938924,S674,65,"new RNA feature, 5'UTR of alsT
",,,,,5'UTR of alsT,,,S674,,,
new_744739_744850,S243,112,"new RNA feature, intergenic region
",,,,,intergenic region,,,S243,,,
BSU13220,thiW,1470,thiamine [SW|ECF transporter] (ATP-binding protein),5.71,54.4832,490,thiamine uptake,thiamine [SW|ECF transporter] (ATP-binding protein),no,,"thiW,ykoD",,,
new_2678362_2678577_c,ratA,216,"part of type I toxin/antitoxin system, control of TxpA toxin expression",,,,control of txpA toxin expression,antitoxin RNA,,,"ratA,S976",,,
new_3788004_3788274_c,S1426,271,"new RNA feature, 5'UTR of atpI
",,,,,5'UTR of atpI,,,S1426,,,
BSU27100,yrhP,630,similar to efflux protein,10.42,23.2427,210,unknown,unknown,no,,yrhP,,,
BSU10450,yhjB,1467,similar to metabolite permease,9.63,52.5962,489,unknown,unknown,no,,yhjB,,,
new_2329736_2330041_c,S838,306,"new RNA feature, intergenic region
",,,,,intergenic region,,,S838,,,
BSU22790,hbs,276,non-specific DNA-binding protein Hbsu,9.5,9.7464,92,"DNA packaging, function of the signal recognition complex",non-specific DNA-binding protein Hbsu,yes,,"hbs,dbpA,hupA",,,
BSU05420,ydfI,639,"two-component response regulator, control of [[gene|ydfJ ]]expression",5.38,23.8264,213,control of [[gene|ydfJ ]]expression,two-component response regulator,no,,ydfI,,,
BSU34810,yvcD,1452,unknown,4.68,55.2069,484,unknown,unknown,no,,yvcD,,,
BSU05408,ydzP,177,unknown,10.088,6.9,59,unknown,unknown,-,,ydzP,,,
BSU20130,yosG,360,unknown,5.03,13.5873,120,unknown,unknown,no,,yosG,,,
BSU31945,yukJ,675,unknown,4.615,26,225,unknown,unknown,no,,yukJ,,,
BSU23180,spmA,588,spore maturation protein (spore core dehydratation),10.03,21.3474,196,germination,spore maturation protein (spore core dehydratation),no,,"spmA,ypuJ",,,
BSU_misc_RNA_53,BSU_misc_RNA_53,,,,,,,,,,BSU_misc_RNA_53,,,
BSU01770,glmM,1344,"phosphoglucosamine mutase, required for cell wall synthesis",4.68,48.2681,448,cell wall synthesis,"phosphoglucosamine mutase, required for cell wall synthesis",yes,5.4.2.10,"glmM,ybbT",,,
new_1751_1938,S5,188,"new RNA feature, intergenic region
",,,,,intergenic region,,,S5,,,
BSU26940,yraH,384,unknown,4.99,14.9941,128,unknown,unknown,no,,yraH,,,
BSU31240,mcpA,1983,"membrane-bound chemotaxis receptor, methyl-accepting chemotaxis protein",4.99,72.2166,661,control of chemotaxis,methyl-accepting chemotaxis protein,no,,mcpA,,,
BSU35430,flgM,264,"anti-[[protein|SigD]], regulation of flagellin, [[category|Motility and chemotaxis]]",9.92,9.8629,88,control of [[protein|SigD ]]activity,anti-[[protein|SigD]],no,,flgM,,,
new_2381192_2381353_c,S858,162,"new RNA feature, 3'UTR of ndk
",,,,,3'UTR of ndk,,,S858,,,
new_2415264_2415371,S877,108,"new RNA feature, independent transcript
",,,,,independent transcript,,,S877,,,
BSU_tRNA_82,trnSL-Gly1,,,,,,translation,transfer RNA-Gly,no,,trnSL-Gly1,,,
BSU23260,ribA,1194,"GTP cyclohydrolase II/ 3,4-dihydroxy-2-butanone 4-phosphate synthase",5.58,43.9609,398,riboflavin biosynthesis,"GTP cyclohydrolase II/ 3,4-dihydroxy-2-butanone 4-phosphate synthase",no,3.5.4.25,ribA,,,
BSU19200,desR,597,"two-component response regulator, regulation of  cold shock expression of [[gene|des]]",4.89,22.0299,199,regulation of  cold shock expression of [[gene|des]],two-component response regulator,no,,"desR,yocG",,,
BSU10460,yhjC,198,unknown,7.01,7.2451,66,unknown,unknown,no,,yhjC,,,
BSU06960,yesN,1104,two-component response regulator,6.95,40.4956,368,unknown,two-component response regulator,no,,yesN,,,
BSU07200,yetJ,642,pH-dependent calcium leak,9.14,23.6822,214,"export of calcium, homeostasis",pH-dependent calcium leak,no,,yetJ,,,
BSU23710,polY2,1236,translesion synthesis (TLS-) DNA polymerase Y2,9.53,45.7819,412,UV-targeted mutagenesis,translesion synthesis (TLS-) DNA polymerase Y2,no,,"polY2,yqjW",,,
BSU19390,yojN,912,similar to nitric-oxide reductase,4.95,33.3266,304,unknown,unknown,no,,yojN,,,
BSU24740,corA,951,"general stress protein, similar to magnesium transporter",9.54,37.5519,317,unknown,unknown,no,,"corA,yqhC,yqxL",,,
BSU35930,rbsD,393,ribose [SW|ABC transporter] (membrane protein),4.99,14.0869,131,ribose uptake,ribose [SW|ABC transporter] (membrane protein),no,,rbsD,,,
BSU27650,secDF,2211,preprotein translocase subunit (ATPase),9.52,81.4693,737,protein secretion,preprotein translocase subunit (ATPase),no,,"secDF,secF, secD",,,
BSU18590,yoaG,402,unknown,9.61,15.1153,134,unknown,unknown,no,,yoaG,,,
new_2997283_2999078,S1114,1796,"new RNA feature, 3'UTR of ytpI
",,,,,3'UTR of ytpI,,,S1114,,,
BSU11930,yjcO,459,unknown,7.91,17.9079,153,unknown,unknown,no,,yjcO,,,
BSU35950,rbsC,966,ribose ABC transporter (permease),10.31,33.6342,322,ribose uptake,ribose ABC transporter (permease),no,,rbsC,,,
BSU08160,yfjB,1221,unknown,9.87,43.4943,407,unknown,unknown,no,,yfjB,,,
BSU03120,ycgI,732,unknown,5.71,27.4962,244,unknown,unknown,no,,ycgI,,,
new_2812134_2812231_c,S1043,98,"new RNA feature, 5'UTR of cymR
",,,,,5'UTR of cymR,,,S1043,,,
BSU37320,narK,1185,nitrite extrusion protein,10.1,42.7974,395,"nitrate respiration, nitrite export",nitrite extrusion protein,no,,narK,,,
new_1276876_1277061_c,S441,186,"new RNA feature, intergenic region
",,,,,intergenic region,,,S441,,,
new_942230_942320_c,S300,91,"new RNA feature, 5'UTR of ygaE
",,,,,5'UTR of ygaE,,,S300,,,
BSU02920,yceF,771,"general stress protein, similar to tellurium resistance protein",7.45,29.0165,257,unknown,unknown,no,,yceF,,,
BSU22920,ypeB,1350,"germination protein, essential for SleB assembly in spores",6.31,51.0198,450,assembly of SleB,germination protein,no,,"ypeB,joeB, yzuA",,,
BSU09360,yhdC,321,unknown,6.33,12.2068,107,unknown,unknown,no,,yhdC,,,
BSU08140,yfjD,555,unknown,9.6,21.5405,185,unknown,unknown,no,,yfjD,,,
BSU27260,mccA,921,O-acetylserine-thiol-lyase,5.23,32.8647,307,methionine-to-cysteine conversion,O-acetylserine-thiol-lyase,no,,"mccA,yrhA",,,
BSU16490,rpsB,738,ribosomal protein,6,27,246,translation,ribosomal protein S2,yes,,rpsB,,,
new_3579515_3579589_c,S1329,75,"new RNA feature, 5'UTR of bmrA
",,,,,5'UTR of bmrA,,,S1329,,,
BSU10970,yitF,1113,similar to mandelate racemase,7.53,41.8935,371,unknown,unknown,no,,yitF,,,
new_875144_875427,S278,284,"new RNA feature, 5'UTR of yfzA
",,,,,5'UTR of yfzA,,,S278,,,
BSU39780,iolS,930,"similar to dehydrogenase, may be involved in myo-inositol catabolism",5.38,35.0139,310,"unknown, may be involved in myo-inositol catabolism",unknown,no,,"iolS,yxbF",,,
BSU26039,yqbN/1,189,part of the yqbN pseudogene,,,63,unknown,unknown,no,,yqbN/1,,,
BSU36100,ywrD,1575,"unknown, similar to gamma-glutamyltransferase (Ggt)",5.45,57.3177,525,unknown,unknown,no,2.3.2.2,ywrD,,,
new_678952_679246_c,S224,295,"new RNA feature, 5'UTR of bdhA
",,,,,5'UTR of bdhA,,,S224,,,
